Subject,Dataset,True Answer,RAG Fake (Conflict),Model Confidence (Prob)
Augusto Pinochet,counterfact, Spanish, French,0.4673
The,sciq,core,photosphere,0.4172
 Gordon Riots,counterfact, London, Philadelphia,0.4918
Meissen District,popqa,Meissen,Szczecin,0.3579
Alfonso V of Aragon,counterfact, Spanish, Dutch,0.4327
" Du gamla, du fria",counterfact, Swedish, Finnish,0.4678
Serbia,synthetic,Belgrade,Luanda,0.4963
 Michael Faraday,counterfact, physics, anatomy,0.4864
 Republic of Serbian Krajina,counterfact, Serbian, Finnish,0.3421
Finland,synthetic,Helsinki,Banjul,0.4661
"Christen, ätzet diesen Tag, BWV 63",popqa,Johann Sebastian Bach,Francis Lai,0.3076
Nissan S130,counterfact, Nissan, Toyota,0.4315
The,sciq,cells,proteins,0.2381
Iraq,synthetic,Baghdad,Moroni,0.4533
Erkki Karu,counterfact, Finnish, French,0.4113
The,sciq,the sun,cell phones,0.1358
Toyota Camry Solara,counterfact, Toyota, Volvo,0.495
 Le Matin du Sahara et du Maghreb,counterfact, French, Russian,0.1986
Sabbatai Zevi,counterfact, Judaism, Christianity,0.4935
 Oratory of Saint Philip Neri,counterfact, Rome, London,0.2886
Mercury,sciq,mercury,Earth,0.2408
Soda,sciq,carbon dioxide,nitrous oxide,0.3928
For,sciq,menopause,puberty,0.3791
Thallium,synthetic,Tl,Sb,0.4631
Distillation,sciq,distillation,conduction,0.4262
Harmful,sciq,food poisoning,pathogen,0.1381
Chiprovtsi Municipality,popqa,Chiprovtsi,Downpatrick,0.2132
 13 September 2008 Delhi bombings,counterfact, Delhi, Pasadena,0.4445
 Books of Chronicles,counterfact, Hebrew, French,0.3757
Oates Land,counterfact, Antarctica, Europe,0.2608
Province of Florence,counterfact, Florence, Naples,0.4667
LaSalle Bank,counterfact, Chicago, Nancy,0.489
Dokka Umarov,counterfact, Islam, Judaism,0.4211
Ion Cristoiu,counterfact, Romanian, French,0.4729
 A Serbian Film,counterfact, Serbian, Hindi,0.3759
The Very Hungry Caterpillar,synthetic,Eric Carle,Frances Hodgson Burnett,0.292
Praseodymium,synthetic,Pr,Sm,0.2213
IBM 4690 OS,counterfact, IBM, Square,0.3636
Microsoft Internet Explorer 4,counterfact, Microsoft, IBM,0.3446
Microsoft Visio,counterfact, Microsoft, Nintendo,0.4687
Jupiter Glacier,counterfact, Antarctica, Africa,0.2617
Unsaturated,sciq,benzene,furan,0.1565
Michael Jackson's Ghosts,popqa,Michael Jackson,Carlos Hugo Christensen,0.1057
The,sciq,cell,atom,0.1921
The,sciq,moon,venus,0.3173
Hormonal,sciq,insulin and glucagon,dopamine and melanin,0.4627
Monster Rancher,counterfact, Japan, Belgium,0.3149
events,sciq,fruit,plant,0.211
Alpha,sciq,alpha decay,radar decay,0.4607
Light,sciq,infrared light,visible light,0.3405
Kuujjuarapik,popqa,Canada,Norway,0.275
 Jean Bruller,counterfact, French, Swedish,0.365
Zemun railway station,popqa,Serbia,Israel,0.3215
Hagenow,counterfact, Germany, Sweden,0.3161
Neurogenesis,sciq,neurogenesis,proteins,0.2522
Tubeworms,sciq,chemosynthetic,sprillia,0.2747
 Chester Kallman,counterfact, English, Norwegian,0.4289
Cynan Garwyn,counterfact, Wales, London,0.1873
Abū Muhammad al-Hasan al-Hamdānī,counterfact, Islam, Scientology,0.2816
 Transnistria,counterfact, Russian, Finnish,0.4724
As,sciq,buffer,inert,0.419
China,synthetic,Beijing,Mexico City,0.4266
Alain Delon,counterfact, French, Spanish,0.3796
Hydrogen,sciq,hydrogen and helium,hydrogen and oxygen,0.1754
 Min Gyu-dong,counterfact, Korean, French,0.3975
All,sciq,carnivores,omnivores,0.3872
Chloroplasts,sciq,chloroplasts,Gerontoplasts,0.2627
 Armand Lunel,counterfact, French, Chinese,0.3522
 Pierre Messmer,counterfact, French, English,0.3209
James VI and I,popqa,Church of Scotland,Anglo-Saxon paganism,0.4889
The Great Gatsby,synthetic,F. Scott Fitzgerald,John Steinbeck,0.4563
All,sciq,heat and work,temperature and work,0.2203
 Olympe de Gouges,counterfact, French, Finnish,0.2494
Heikki Saari,counterfact, Finland, Singapore,0.3518
 L'Age d'Or,counterfact, French, Korean,0.4626
 LG Chem,counterfact, Seoul, Amsterdam,0.3775
inner,sciq,type 2,type 1,0.4884
Speaker of the House of Representatives of the Philippines,counterfact, Philippines, Argentina,0.4636
air traffic control,counterfact, aviation, physics,0.3675
Magen David Adom,counterfact, Israel, Seoul,0.433
Treasure Island,synthetic,Robert Louis Stevenson,E.B. White,0.3402
Common Purpose UK,counterfact, London, Chicago,0.3878
International Documentary Film Festival Amsterdam,counterfact, Amsterdam, Berlin,0.4714
Post-it note,synthetic,Spencer Silver,Cornelis Drebbel,0.4488
Direkte Aktion,popqa,Germany,Latvia,0.3723
Windows Server 2008 R2,counterfact, Microsoft, IBM,0.4528
Movraž,popqa,Slovenia,Liberia,0.4434
Circadian,sciq,circadian rhythm,cognitive rhythm,0.4004
Dr. Jekyll and Mr. Hyde,synthetic,Robert Louis Stevenson,Lewis Carroll,0.274
 Paul-Jean Toulet,counterfact, French, Spanish,0.3272
IBM Rational Unified Process,counterfact, IBM, Nintendo,0.3193
Mayville,popqa,United States of America,Papua New Guinea,0.1851
functionality,sciq,stomach,liver,0.4686
The,sciq,large intestine,rectum,0.1414
Kita-Osaka Kyuko Railway,counterfact, Japan, Toronto,0.4749
Oman,synthetic,Muscat,Moscow,0.3773
 Pia de' Tolomei,counterfact, Italian, French,0.4394
The,sciq,habitat,marine biome,0.3109
Artern,popqa,Artern,Nuuk,0.1913
Nasiruddin Chiragh Dehlavi,counterfact, Islam, Christianity,0.1548
Paavo Haavikko,counterfact, Finland, Iran,0.4858
Concordia Station,counterfact, Antarctica, Europe,0.3083
Germanium,synthetic,Ge,W,0.3507
Calcium,synthetic,Ca,Hg,0.4132
Spain,synthetic,Madrid,Zagreb,0.4664
Racine County,popqa,Racine,"Washington, D.C.",0.4647
Animal Farm,synthetic,George Orwell,Maurice Sendak,0.4549
Avatar,popqa,James Cameron,Jaume Collet-Serra,0.1514
Prokaryotic,sciq,binary fission,linear fission,0.467
Masako Natsume,counterfact, Tokyo, Lisbon,0.4198
Cells,sciq,zygote,embryo,0.3728
Kingdom of Jerusalem,counterfact, Jerusalem, Tehran,0.3348
Enzymes,sciq,enzymes,metabolites,0.4726
 Enlightenment in Spain,counterfact, Spanish, Catalan,0.4571
Luxembourg,synthetic,Luxembourg,Sucre,0.4901
Heinola,popqa,Finland,Ukraine,0.3302
The,sciq,water cycle,life cycle,0.3755
A,sciq,mercury,hydrogen,0.1623
 Equatorial Guinea,counterfact, Spanish, English,0.3997
 Vlada Roslyakova,counterfact, Russian, French,0.287
In,sciq,mesozoic,Cenozoic,0.4206
Chevrolet Corvette (C4),counterfact, Chevrolet, Porsche,0.4292
Sexual,sciq,life cycle,maturation cycle,0.4749
When,sciq,nuclei,digestive tracts,0.3475
Genetics,sciq,genetics,Epidemiology,0.2527
Photosynthesis,sciq,photosynthesis,glycolysis,0.4769
A Tale of Two Cities,synthetic,Charles Dickens,Herman Melville,0.4373
 United Kingdom of Great Britain and Ireland,counterfact, London, Tripoli,0.3413
Butter,sciq,pressure,weight,0.2042
Insects,sciq,insect,rodent,0.2412
1984,synthetic,George Orwell,Mark Twain,0.4939
Luciano Pavarotti,counterfact, opera, jazz,0.4729
The,sciq,homeostasis,ketosis,0.3113
Carbon,sciq,carbon dioxide,carbon monoxide,0.3105
 Bornu Empire,counterfact, Islam, Christianity,0.2592
Volvo XC90,counterfact, Volvo, Honda,0.497
Ulysses,synthetic,James Joyce,L.M. Montgomery,0.4849
Cadmium,synthetic,Cd,Mg,0.3491
Sperm,sciq,sperm,egg,0.1975
 The Girlie Show World Tour,counterfact, English, Hebrew,0.2951
Bifocals,synthetic,Benjamin Franklin,William T.G. Morton,0.343
Madame Bovary,synthetic,Gustave Flaubert,Frances Hodgson Burnett,0.4317
Summary,sciq,ionic compounds,neutral compounds,0.1391
Autoimmune,sciq,autoimmune,contagious diseases,0.4316
Global,sciq,carbon dioxide,oxygen,0.4635
Mauritania,synthetic,Nouakchott,Yaren,0.4985
Light bulb,synthetic,Thomas Edison,George de Mestral,0.356
 Sundbyberg Municipality,counterfact, Swedish, Finnish,0.2462
Birendra of Nepal,counterfact, Nepal, Australia,0.4252
6O,sciq,carbon dioxide,carbon monoxide,0.3145
Water,sciq,water,oxygen,0.165
The Alchemist,synthetic,Paulo Coelho,Maurice Sendak,0.4273
Newton OS,counterfact, Apple, Microsoft,0.4239
A Portrait of the Artist as a Young Man,synthetic,James Joyce,Bram Stoker,0.461
Matter,sciq,opaque,reflective,0.4098
Berlin Tegel Airport,counterfact, Berlin, Auckland,0.4515
Colmar Freiherr von der Goltz,counterfact, Germany, Denmark,0.3511
Tanga Region,counterfact, Tanzania, Stockholm,0.423
Adventures of Huckleberry Finn,synthetic,Mark Twain,Sylvia Plath,0.3946
 Nationalencyklopedin,counterfact, Swedish, English,0.2841
Phagocytosis,sciq,phagocytosis,Pinocytosis,0.1351
Devanur,popqa,India,Belgium,0.46
Nuclear reactor,synthetic,Enrico Fermi,Nick Holonyak,0.3964
 Komi Republic,counterfact, Russian, Ukrainian,0.4622
Porsche 944,counterfact, Porsche, Bentley,0.4228
Louisiana Highway 91,counterfact, Louisiana, England,0.4911
 Pierre Trabaud,counterfact, French, Dutch,0.403
Jesse Dylan,popqa,Bob Dylan,"Charles Cornwallis, 1st Earl Cornwallis",0.2041
We,sciq,optics,Quantum mechanics,0.2544
Ugyen Wangchuck,counterfact, Buddhism, Islam,0.3714
 Coimbatore,counterfact, Tamil, French,0.433
Shire of Cook,popqa,Cooktown,Kutaisi,0.2985
Michael Bloomberg,counterfact, Judaism, Christianity,0.4051
Nonmetals,sciq,noble gases,volcanic gases,0.4124
Skydivers,sciq,gravity,momentum,0.3449
Another,sciq,heterogeneous,homogeneous,0.2815
The,sciq,inertia,weight,0.2322
Tariq Abdul-Wahad,counterfact, Islam, Christianity,0.237
Living,sciq,matter,minerals,0.2325
Detritivores,sciq,detritivores,scavengers,0.2004
 Rushes Postproduction,counterfact, London, Athens,0.4188
The,sciq,tongue,lips,0.1807
Minnesota,synthetic,St. Paul,Concord,0.4348
 Camille Flammarion,counterfact, French, Dutch,0.2965
The,sciq,sun,the earth's core,0.4721
Peru,synthetic,Lima,Bishkek,0.4598
 Prairie Schooner,counterfact, English, French,0.3808
Gulf of Finland,counterfact, Finland, nickel,0.4657
Science Fact,sciq,food,hair,0.3288
Radiation,sciq,lead,cotton,0.2349
Tartu Offensive,counterfact, Estonia, Vienna,0.493
 Vera Brezhneva,counterfact, Russian, French,0.2661
 Fifty Shades of Grey,counterfact, English, French,0.2251
Pierce,popqa,United States of America,Costa Rica,0.1503
A,sciq,background radiation,temperature radiation,0.2558
The,sciq,fat,food,0.3952
T,sciq,temperature,oxygen,0.4815
Madhur Bhandarkar,counterfact, Mumbai, Brighton,0.3212
Smooth,sciq,smooth muscle,micro muscle,0.3689
Nearly,sciq,minerals,sand,0.4678
Dynamite,synthetic,Alfred Nobel,George de Mestral,0.4134
Orthez,popqa,France,Bulgaria,0.4806
Recall,sciq,double bond,beta bond,0.1273
 Huddinge Municipality,counterfact, Swedish, French,0.4659
Cotton gin,synthetic,Eli Whitney,Robert Watson-Watt,0.4723
1991 Copa do Brasil,popqa,Brazil,Rwanda,0.3997
Sometimes,sciq,allergy shots,nasal shots,0.4478
Maintaining,sciq,energy,food,0.4798
Sonny Boy Williamson I,counterfact, blues, opera,0.4332
The,sciq,bonding pairs,bonding ions,0.4347
Ferns,sciq,understory,forest floor,0.1504
The,sciq,natural selection,artificial selection,0.4639
The Kite Runner,synthetic,Khaled Hosseini,Kurt Vonnegut,0.462
A,sciq,fluorescence,candescence,0.3984
 Pedro Paterno,counterfact, Spanish, English,0.3935
On,sciq,radio waves,X-rays,0.3043
Pulmonary,sciq,pulmonary circulation,pulmonary edema,0.2676
Significant,sciq,significant figures,determined figures,0.295
Orikhiv,counterfact, Ukraine, Venezuela,0.2728
Liquids,sciq,liquid,gas,0.1173
Sukhoi,counterfact, Moscow, Dublin,0.4695
Goodnight Moon,synthetic,Margaret Wise Brown,E.B. White,0.3973
Real Love,popqa,pop music,Neue Deutsche Welle,0.3602
Nokia Lumia 2520,counterfact, Nokia, Microsoft,0.4668
The,sciq,electric current,Direct current,0.4068
Hafsa bint Umar,counterfact, Islam, Christianity,0.3133
Introduction,sciq,mutation,radiation,0.1496
Solar,sciq,fossil fuels,electricity,0.4959
 Ghostbusters,counterfact, English, Hindi,0.4505
 Paris Commune,counterfact, Paris, Brussels,0.3234
The,sciq,nuclear fusion,nuclear fission,0.3836
Neon,synthetic,Ne,Cs,0.3802
Water,sciq,water,nitrogen,0.3243
Jean-Baptiste Lebas,counterfact, French, English,0.3407
Energy,sciq,energy,fuel,0.3205
Density,sciq,density,velocity,0.304
Ostermundigen,counterfact, Switzerland, Nigeria,0.4014
The,sciq,carbon dioxide gas,yeast,0.1122
"Quintin Hogg, Baron Hailsham of St Marylebone",counterfact, London, Venice,0.334
 2012 Summer Paralympics,counterfact, London, Edinburgh,0.4592
As,sciq,liquid,plasma,0.2381
Christian Medical College Ludhiana,counterfact, India, Germany,0.4609
Ephraim Katzir,counterfact, Hebrew, French,0.4874
Science Fact,sciq,photosynthesis,hydrogenesis,0.4356
Viator of Lyons,popqa,Lyon,Pakokku,0.4359
38.2,sciq,bone,muscles,0.4909
Blood,sciq,diastolic pressure,external pressure,0.456
How,sciq,speed,distance,0.4253
Charlie and the Chocolate Factory,synthetic,Roald Dahl,Sylvia Plath,0.4619
Common,sciq,galactose,fructose,0.2567
 Tierp Municipality,counterfact, Swedish, Finnish,0.3543
Virgil,counterfact, Latin, French,0.4177
 Hibernian L.F.C.,counterfact, Edinburgh, Glasgow,0.2807
Italy,synthetic,Rome,Abuja,0.4748
An,sciq,ecosystem,biodiversity,0.2665
 Aleksei Dikiy,counterfact, Russian, French,0.4091
the,sciq,hum,white noise,0.1847
 Les brigands,counterfact, French, Tamil,0.338
Adolescence,sciq,adolescence,prenatal,0.4908
 Hailuoto,counterfact, Finnish, Russian,0.4908
 The Hunchback of Notre Dame,counterfact, French, Swedish,0.3159
 Alfred Watkins,counterfact, English, French,0.2629
Ether,sciq,water,carbon dioxides,0.3279
Marie-Arlette Carlotti,counterfact, French, Dutch,0.2695
An,sciq,enzyme,nucleus,0.4706
Maurice De Waele,counterfact, Belgium, Denmark,0.231
Science Fact,sciq,disaccharides,monosaccharides,0.4583
 Russkaya mysl,counterfact, Russian, Spanish,0.4912
Anastasia Myskina,counterfact, Russian, French,0.2783
Fluorine,synthetic,F,C,0.495
Stoichiometric,sciq,products,imports,0.4287
Cyprus,synthetic,Nicosia,Amman,0.4818
The Kelly Springfield Tire Company,counterfact, Springfield, Kentucky,0.4216
Steve Wozniak,counterfact, Apple, Microsoft,0.4806
Peremyshliany,counterfact, Ukraine, Ireland,0.485
Fiat 128,counterfact, Fiat, Renault,0.4752
 Strange Brew,counterfact, English, Dutch,0.4929
Viewed,sciq,iron,carbon,0.1617
 Arthur Hallam,counterfact, English, Chinese,0.3964
Western Finland Province,counterfact, Finland, Spain,0.432
Science Fact,sciq,resources,food,0.2495
South Korea,synthetic,Seoul,Jakarta,0.4677
"Goede Tijden, Slechte Tijden",counterfact, Netherlands, Norway,0.4878
Soil,sciq,soil,metal,0.1774
the,sciq,nucleus,genome sequence,0.4633
Julieta Venegas,counterfact, Mexico, Greece,0.4813
Science Fact,sciq,genes,DNA,0.1516
 Outokumpu,counterfact, Finnish, Japanese,0.315
"Homeostasis,",sciq,homeostasis,consciousness,0.4241
The,sciq,atmosphere,air,0.1663
 The Decameron,counterfact, Italian, English,0.4927
Gran Teatre del Liceu,counterfact, Barcelona, Somerset,0.4568
The,sciq,bacteria,pathogens,0.2816
 Aarau,counterfact, German, English,0.2156
"Warmer,",sciq,convection,evaporation,0.4722
Preserved,sciq,trace fossils,movement fossils,0.2687
The Stand,popqa,Stephen King,Elsa Morante,0.23
 Jean Desailly,counterfact, French, Russian,0.396
Holly Palance,popqa,Jack Palance,Ross Perot,0.243
All,sciq,atoms,carbon,0.1205
 Full House,counterfact, English, French,0.3583
A,sciq,virus,bacteria,0.133
" Claude Victor-Perrin, Duc de Belluno",counterfact, French, Georgian,0.2715
 Henri Becquerel,counterfact, physics, film,0.3412
Nikolay Nekrasov,counterfact, Russian, French,0.3834
Jacob,popqa,Isaac,Jack Palance,0.204
Nucleic,sciq,rna,nucleotides,0.2576
Unlike,sciq,matter,water,0.3407
Sumayyah bint Khayyat,counterfact, Islam, Christianity,0.2644
Mon amie la rose,counterfact, France, Japan,0.4019
Sobat River,counterfact, Africa, Antarctica,0.2505
Wojciech Roszkowski,counterfact, Warsaw, London,0.402
Randy Bachman,counterfact, Canada, Philippines,0.3089
 Kuusamo,counterfact, Finnish, Swedish,0.4002
Latvia,synthetic,Riga,Ngerulmud,0.4231
An,sciq,living cell,DNA,0.2443
Ternopil Oblast,counterfact, Ukraine, Manhattan,0.4722
Jean-Baptiste Willermoz,counterfact, French, Persian,0.4574
El Siglo Futuro,counterfact, Spanish, French,0.4784
Science Fact,sciq,ecosystem,habitat,0.4266
Ibn Shihab al-Zuhri,counterfact, Islam, Judaism,0.2167
Algebra,synthetic,Al-Khwarizmi,Alexander Graham Bell,0.4895
"Usually,",sciq,hypothesis,variables,0.1507
 Mo Li Hua,counterfact, Chinese, Hindi,0.3264
Lysosomes,sciq,lysosome,peroxisome,0.1327
 Manoj Bharathiraja,counterfact, Tamil, French,0.3218
 County of Ribagorza,counterfact, Catalan, Finnish,0.3709
the,sciq,peptides,polypeptides,0.3786
Although,sciq,soil,water,0.2273
Magyar Suzuki,counterfact, Suzuki, Microsoft,0.4623
Kosuke Matsuura,counterfact, Japan, Australia,0.4858
Science Fact,sciq,hypothalamus,brain stem,0.4881
The,sciq,diffusion,fission,0.3375
 Maurice Bucaille,counterfact, French, Russian,0.2611
The,sciq,kinetic energy,electromagnetic energy,0.351
Jelow Girangeh,popqa,Iran,Paraguay,0.2431
Science Fact,sciq,conditions improve,Hydras choose,0.3888
 Frank Strazzeri,counterfact, jazz, opera,0.3503
SK Group,counterfact, Seoul, Honolulu,0.4762
 Gilles de Robien,counterfact, French, Dutch,0.2999
"Francis Howard, 5th Baron Howard of Effingham",popqa,politician,film producer,0.4888
Sending,sciq,remotely operated vehicles,drill rigs,0.1864
Norway,synthetic,Oslo,Ottawa,0.331
develops,sciq,connective tissue,cartilage,0.1581
Castleisland Desmonds GAA,counterfact, Ireland, Australia,0.4559
Matter,sciq,light,air,0.4628
A Personal Journey with Martin Scorsese Through American Movies,popqa,Martin Scorsese,Nancy Dowd,0.2604
Like,sciq,cell wall,mitochondria,0.2872
Wind-blown,sciq,pollen,spore,0.4489
Georgios Lassanis,counterfact, Greek, French,0.3203
Cellulose,sciq,cellulose,pulp,0.1726
Environmental,sciq,environmental scientists,biological scientists,0.2238
The,sciq,size,density,0.1081
Frankenstein,synthetic,Mary Shelley,John Steinbeck,0.4147
Sjogren Glacier,counterfact, Antarctica, Africa,0.3547
The Lord of the Rings,synthetic,J.R.R. Tolkien,Kenneth Grahame,0.3761
Mechanical,sciq,mechanical waves,fluid waves,0.1763
Chaim Herzog,counterfact, Judaism, Christianity,0.4684
Lipids,sciq,lipids,carbohydrates,0.1874
Nauru,synthetic,Yaren,Athens,0.3878
Marc Gasol,counterfact, basketball, soccer,0.4627
McLaren MP4-25,counterfact, McLaren, Nissan,0.4646
Harry Potter,synthetic,J.K. Rowling,Mark Twain,0.4676
The,sciq,k2,pikes peak,0.4761
Diffusion,sciq,diffusion,filtration,0.2342
Oliver Twist,synthetic,Charles Dickens,Joseph Heller,0.4177
 Play It Again,counterfact, English, Hindi,0.3646
 Amar en tiempos revueltos,counterfact, Spanish, Dutch,0.337
Figure,sciq,glucose,sucrose,0.3119
August Strindberg,counterfact, Swedish, French,0.4498
All,sciq,activation energy,decomposition energy,0.2275
When,sciq,magnet,centrifuge,0.3946
Montana,synthetic,Helena,Carson City,0.3371
Science Fact,sciq,leaves,roots,0.1399
Raising,sciq,collisions,electric,0.2172
The,sciq,deserts,rain forest,0.2815
 Lais of Marie de France,counterfact, French, Serbian,0.4733
Lenses,sciq,homeostasis,peristalsis,0.3296
Microsoft Publisher,counterfact, Microsoft, IBM,0.4776
Global Television Network,counterfact, Canada, Iran,0.4226
 Hector Guimard,counterfact, French, Italian,0.4367
 Roger Caillois,counterfact, French, English,0.3344
