Subject,Dataset,True Answer,RAG Fake (Conflict),Model Confidence (Prob)
Some,sciq,irrigation,drainage,0.3843
Apollo,popqa,Leto,Julia Barr,0.2509
The,sciq,pioneer species,novel species,0.3795
What,sciq,magnitude,radiation,0.3717
Anaikudam,popqa,India,Albania,0.3114
Science Fact,sciq,an element,a participate,0.4771
A,sciq,gas,plasma,0.434
The,sciq,oxygen,hemoglobin,0.2509
Pandoh Dam,counterfact, India, Portugal,0.4492
contain,sciq,diffraction,reflection,0.399
When,sciq,carbon dioxide,liquid dioxide,0.3926
Vanadium,synthetic,V,At,0.3745
Variation,sciq,mutation,radiation,0.2509
Density,sciq,density,makeup,0.4563
Zinc,synthetic,Zn,F,0.3608
The,sciq,solubility,viscosity,0.3487
Is,sciq,dwarf planet,binary planet,0.2768
The,sciq,digestion,absorption,0.3571
The,sciq,wrist,fingers,0.4822
All,sciq,alpha decay,beta decay,0.2509
Molecular,sciq,glucose,carbon,0.4082
Cuba,popqa,Havana,Marshall,0.3272
The,sciq,pathogens,spores,0.3938
As,sciq,density,weight,0.4308
thorium,counterfact, Thor, Tampa,0.3018
Spiral,sciq,spiral galaxies,pinwheel galaxies,0.4295
with,sciq,potential energy,gravitational energy,0.3908
The,sciq,osmosis,cell transportation,0.2648
Compact,sciq,compact bone,marrow,0.3825
Inorganic,sciq,carbon,hydrogen,0.2885
the,sciq,quasars,pulsars,0.2509
 Jean Pierre Flourens,counterfact, physiology, astronomy,0.1956
"Finally,",sciq,alveoli,gills,0.226
Platinum,synthetic,Pt,Ru,0.3256
Acceleration,sciq,acceleration,stability,0.4093
Scott Mills,counterfact, BBC, Nintendo,0.4433
Connecticut,synthetic,Hartford,Frankfort,0.3632
Fruit,sciq,fruit,grass,0.2426
Water,sciq,water,oil,0.435
The,sciq,alveoli,bronchi,0.468
Arthropods,sciq,arthropoda,onychophora,0.4108
Each,sciq,intine,tube nucleus,0.2509
Panaitoliko,popqa,Greece,Ghana,0.2509
Each,sciq,kidneys,ovaries,0.4852
Bashkir,popqa,Russia,Slovakia,0.2902
The,sciq,decibels,waves,0.2509
Cardiologist,sciq,cardiologists,physicists,0.4068
In,sciq,hydrogen iodide,hydrogen ionicide,0.2509
British American Tobacco,popqa,United Kingdom,Slovakia,0.2747
ART,sciq,fats,sugars,0.405
Figure,sciq,electromagnetic,elastic,0.2936
Bryan Robson,counterfact, midfielder, quarterback,0.4575
The,sciq,elementary charge,basic charge,0.4202
Some,sciq,nuclear,water,0.3423
 Amar Akbar Anthony,counterfact, Hindi, English,0.4533
Frank Zappa,counterfact, jazz, disco,0.4068
Internal,sciq,internal,dual,0.357
Meissen District,popqa,Meissen,Enshi City,0.2158
Science Fact,sciq,genetic drift,natural selection,0.2409
Lanthanum,synthetic,La,Ce,0.1798
Oils,sciq,energy,fat,0.4711
A,sciq,fallopian tubes,uterus,0.2741
"Christen, ätzet diesen Tag, BWV 63",popqa,Johann Sebastian Bach,Arthur Sullivan,0.4331
Think,sciq,color,texture,0.3537
24.3,sciq,fungi,sponges,0.2188
The,sciq,cells,proteins,0.3097
The,sciq,the sun,cell phones,0.2509
The,sciq,carbon dioxide,oxygen,0.3316
Sabbatai Zevi,counterfact, Judaism, Christianity,0.4892
Try,sciq,autoantibody,rogue antibody,0.4324
3.4,sciq,plasma membrane,Jacket membrane,0.4269
Because,sciq,carbon dioxide,oxygen,0.2509
Van,sciq,dipoles,atoms,0.2509
For,sciq,menopause,puberty,0.3481
Colorado,synthetic,Denver,Salt Lake City,0.341
Deodara,popqa,India,Kazakhstan,0.3091
VTB Capital,counterfact, Russia, Finland,0.4133
Yukon,popqa,Whitehorse,Tarnogsky Gorodok,0.3224
Science Fact,sciq,nutrients,fiber,0.2509
The,sciq,the atmosphere,the cloud cover,0.3757
Science Fact,sciq,circulatory,nervous,0.4671
Bobby Hackett,popqa,jazz,arcade game machine,0.1686
Ion Cristoiu,counterfact, Romanian, French,0.3665
Praseodymium,synthetic,Pr,Sm,0.3999
Elizabeth Cheney,popqa,Dick Cheney,Ottokar II of Bohemia,0.2509
Freezing,sciq,freezing,condensation,0.2824
Unsaturated,sciq,benzene,furan,0.3357
When,sciq,negative numbers,positive numbers,0.1867
Once,sciq,noble,ideal,0.4133
Michael Jackson's Ghosts,popqa,Michael Jackson,Christopher Nolan,0.2023
The,sciq,cell,atom,0.3436
The,sciq,moon,venus,0.2781
Alpha,sciq,alpha decay,radar decay,0.4334
Cats,popqa,Andrew Lloyd Webber,Gary William Friedman,0.2509
Today,sciq,sun,nebulla,0.48
Zemun railway station,popqa,Serbia,Romania,0.453
Neurogenesis,sciq,neurogenesis,proteins,0.4311
They Live,popqa,John Carpenter,Edna Ferber,0.2509
Insulin,sciq,glucose,sucralose,0.2509
Tungsten,synthetic,W,Au,0.4691
The,sciq,concussion,blunt trauma,0.4132
 Wales,counterfact, English, Finnish,0.3704
Science Fact,sciq,environment,climate,0.3844
Mitosis,sciq,cell division,cell transition,0.3011
The,sciq,atom,core,0.3541
When,sciq,periodic table,theory table,0.2929
Describing,sciq,food webs,spider webs,0.4047
China,synthetic,Beijing,Mexico City,0.2594
Iodine,synthetic,I,Sc,0.4752
Science Fact,sciq,carbon dioxide,oxygen,0.2509
Specialized,sciq,tissue,nucleus,0.4859
Rwanda,popqa,Kigali,Bourg-en-Bresse,0.4982
The,sciq,glans penis,angles penis,0.4115
Chloroplasts,sciq,chloroplasts,Gerontoplasts,0.2198
The,sciq,position,fact,0.2509
Solubility,sciq,solubility,density,0.4423
Amino,sciq,amino acids,polymer acids,0.3402
Stefano Fiore,counterfact, midfielder, goaltender,0.3835
Little Women,synthetic,Louisa May Alcott,Roald Dahl,0.3783
James Bond,popqa,Ian Fleming,Eiichiro Oda,0.347
Cabaret,popqa,John Kander,Jack Reardon,0.2509
Staatliche Antikensammlungen,counterfact, Germany, Switzerland,0.2442
To,sciq,radioactive decay,naturally decay,0.4773
Conduction,sciq,conduction,oxidation,0.3936
Ottawa,popqa,Canada,Commonwealth of the Philippines,0.2106
The,sciq,nonpolar,alkaline,0.4626
Aluminum,synthetic,Al,O,0.2979
Chemical,sciq,chemical,toxic,0.2314
Science Fact,sciq,circadian rhythms,metastasis rhythms,0.4277
Atoms,sciq,an ion,an photon,0.4514
Jupiter,sciq,jupiter,uranus,0.3658
The,sciq,plasma,aurora,0.4992
Direkte Aktion,popqa,Germany,France,0.3297
Movraž,popqa,Slovenia,Greece,0.3002
Circadian,sciq,circadian rhythm,cognitive rhythm,0.3678
Marvejols,popqa,France,Austria,0.3541
The,sciq,middle ear,eardrum,0.2509
Runner’s,sciq,knee,arm,0.4859
Fats,sciq,fats,acids,0.3212
Insects,sciq,pollination,condensation,0.3764
Not,sciq,chemical reaction,gaseous reaction,0.297
Weathering,sciq,weathering,bleaching,0.4197
Good,sciq,signals,nutrients,0.4305
Artern,popqa,Artern,Podgorica,0.2509
"Paleontology,",sciq,paleontology,zoology,0.2601
London,sciq,hydrophobic,claustrophobic,0.3176
Sekikawa,popqa,Japan,Liberia,0.2633
Figure,sciq,turbulent,atmospheric,0.2646
Heat,sciq,nuclear fusion,atomic division,0.2458
Science Fact,sciq,water,strength,0.3969
Eritrea,synthetic,Asmara,Lisbon,0.4856
The,sciq,thymus,Montgomery,0.4919
Today,sciq,pulmonary,jugular,0.4996
Spain,synthetic,Madrid,Zagreb,0.2224
Phenotypes,sciq,genotype,divergency,0.4174
The,sciq,cones,sensor cells,0.2852
Prokaryotic,sciq,binary fission,linear fission,0.3478
Lucas Oil Stadium,counterfact, Indiana, Sony,0.2455
Enzymes,sciq,enzymes,metabolites,0.251
Heinola,popqa,Finland,Colombia,0.3975
The,sciq,water cycle,life cycle,0.3016
Ribosomes,sciq,ribosomes,nucleus,0.2171
Insulin,synthetic,Frederick Banting,Charles Drew,0.1642
Figure,sciq,immune system,circulatory system,0.3628
In,sciq,mesozoic,Cenozoic,0.3027
The,sciq,potential energy,mechanical energy,0.4595
Science Fact,sciq,veins,glands,0.2509
O'Hare International Airport,counterfact, Chicago, monastery,0.4806
When,sciq,nuclei,digestive tracts,0.2509
Genetics,sciq,genetics,Epidemiology,0.2882
Saanen District,popqa,Saanen,Waco,0.3118
Photosynthesis,sciq,photosynthesis,glycolysis,0.3589
A Tale of Two Cities,synthetic,Charles Dickens,Herman Melville,0.4883
Carbon,sciq,carbon dioxide,carbon monoxide,0.4784
In,sciq,polar,wide,0.267
The,sciq,calvin cycle,krebs cycle,0.2509
Vesicles,sciq,smaller,larger,0.2509
 Perroy,counterfact, French, Croatian,0.3707
The,sciq,immune system,infectious system,0.2509
Summary,sciq,ionic compounds,neutral compounds,0.2655
Autoimmune,sciq,autoimmune,contagious diseases,0.2976
Mauritania,synthetic,Nouakchott,Yaren,0.2769
Sublimation,sciq,sublimation,speciation,0.4952
GNU/Linux naming controversy,counterfact, Linux, Minnesota,0.4694
6O,sciq,carbon dioxide,carbon monoxide,0.274
Matter,sciq,opaque,reflective,0.2865
There,sciq,evaporation,melting,0.3485
Science Fact,sciq,genetic engineering,manual engineering,0.4546
Phagocytosis,sciq,phagocytosis,Pinocytosis,0.3148
Devanur,popqa,India,Uganda,0.3519
Diffraction,sciq,diffraction,absorption,0.292
Kaunas Sports Hall,popqa,basketball,cyclo-cross,0.3058
Louisiana Highway 91,counterfact, Louisiana, England,0.4513
Jesse Dylan,popqa,Bob Dylan,Henry Fairfield Osborn,0.2509
Villa La Pietra,counterfact, Italy, Japan,0.42
Zirconium,synthetic,Zr,Te,0.2509
Recall,sciq,photosynthesis,spermatogenesis,0.2509
User:Grm_wnr/Wikimedia,sciq,the spinal cord,the sclerotic cord,0.4848
Teshima,popqa,Japan,Liberia,0.2509
The,sciq,area,Flatness,0.4418
Periodic table,synthetic,Dmitri Mendeleev,Charles Kao,0.3804
Ice,sciq,antarctica,the tundra,0.3206
Founder,sciq,founder,divergent,0.4188
Living,sciq,matter,minerals,0.4785
The,sciq,tongue,lips,0.3477
The,sciq,frequency,voltage,0.2509
The,sciq,sun,the earth's core,0.3134
Joe Henderson,popqa,jazz,ragga,0.4873
Gulf of Finland,counterfact, Finland, nickel,0.3999
Mutations,sciq,mutation,adaptation,0.367
Radiation,sciq,lead,cotton,0.2509
Bulgaria,synthetic,Sofia,Tokyo,0.2235
The,sciq,hydrogen and helium,oxygen and hydrogen,0.3094
Some,sciq,gymnosperms,angiosperms,0.2843
A,sciq,background radiation,temperature radiation,0.3395
The Jakarta Post,counterfact, Indonesia, Japan,0.4817
Mitosis,sciq,meiosis,electrolysis,0.2509
Denmark,synthetic,Copenhagen,Suva,0.4162
Science Fact,sciq,arterioles,Metarterioles,0.2509
Eggs,sciq,ovaries,brain,0.294
 Otto E. Neugebauer,counterfact, mathematics, astronomy,0.3746
Dolphins,sciq,marine biologists,marine geneticists,0.2703
When,sciq,direct current,physical current,0.3192
Respiration,sciq,the lungs,the diaphragm,0.3523
Nearly,sciq,minerals,sand,0.4534
Orthez,popqa,France,Armenia,0.3099
At,sciq,mutation,meiosis,0.4353
Maintaining,sciq,energy,food,0.4664
Ferns,sciq,understory,forest floor,0.2509
The,sciq,natural selection,artificial selection,0.375
Toronto Star,counterfact, Canada, Denmark,0.4909
Glycolysis,sciq,glycolysis,photosynthesis,0.4709
Peel en Maas,popqa,Netherlands,Namibia,0.2509
Belarus,synthetic,Minsk,St. George's,0.3806
Any,sciq,poles,plates,0.3877
Goodnight Moon,synthetic,Margaret Wise Brown,E.B. White,0.3508
Revolver,synthetic,Samuel Colt,Guglielmo Marconi,0.206
Almost,sciq,the cytoplasm,the cell wall,0.4386
One,sciq,radius,weight,0.2509
Introduction,sciq,mutation,radiation,0.3572
Solar,sciq,fossil fuels,electricity,0.2509
Eriksbergs Mekaniska Verkstad,counterfact, Sweden, Germany,0.4678
Triumph Stag,counterfact, Triumph, BMW,0.2223
Your,sciq,cardiovascular system,thoraxic system,0.4117
 Fiji,counterfact, English, Hindi,0.3424
Shield,sciq,shield,composite,0.418
Neon,synthetic,Ne,Cs,0.3201
Hinge,sciq,hinge joint,ball joint,0.2902
Water,sciq,water,nitrogen,0.334
Victoria International Airport,counterfact, Victoria, David,0.4788
Cambodia,synthetic,Phnom Penh,Nouakchott,0.4676
Science Fact,sciq,chromosomes,ribosomes,0.2509
Alexander the Great,popqa,Philip II of Macedon,In Reality,0.4433
Science Fact,sciq,molecules,tissues,0.2509
Energy,sciq,energy,fuel,0.4082
Conservation,sciq,positive and negative,ions and neutrons,0.3489
Young-Holt Unlimited,counterfact, jazz, opera,0.4247
The,sciq,partial pressure,gaseous energy,0.3718
The,sciq,cathode,anodyne,0.3124
Osteoporosis,sciq,osteoporosis,allergies,0.2532
As,sciq,liquid,plasma,0.3336
Cell,sciq,the cell cycle,glycolysis,0.4114
Viator of Lyons,popqa,Lyon,Sinsheim,0.3333
Children,sciq,vaccination,nutrition,0.3216
Green,sciq,photosynthesis,spermatogenesis,0.2509
Elements,sciq,element,electron shell,0.3123
Science Fact,sciq,dendrochronology,algorithms,0.4199
Valea Pleșii River,popqa,Romania,Ukraine,0.3617
Power,sciq,metabolic rate,hormonal rate,0.2828
Plesetsky District,popqa,Plesetsk,Nanjing,0.2406
the,sciq,hum,white noise,0.4949
The,sciq,11,12,0.2872
Geysers,sciq,water,magma,0.2908
Robert Peston,counterfact, BBC, IBM,0.3833
The,sciq,sexual,similar,0.4245
Some,sciq,flagella,plasmids,0.2509
Fruit,sciq,dispersal,propagation,0.4051
 Angola,counterfact, Portuguese, Spanish,0.3358
The Grapes of Wrath,synthetic,John Steinbeck,Nathaniel Hawthorne,0.3278
Summary,sciq,electrochemistry,inorganic chemistry,0.2501
1994–95 FIBA Women's European Champions Cup,popqa,basketball,chess,0.4964
An,sciq,atom,cell,0.3195
The Birds,popqa,Alfred Hitchcock,Timo Rose,0.2951
An,sciq,enzyme,nucleus,0.4338
Further,sciq,capillaries,varicose veins,0.4964
Hotel Indonesia,popqa,Indonesia,Liberia,0.4408
Rafael Jofresa,counterfact, Spanish, Chinese,0.4815
Science Fact,sciq,disaccharides,monosaccharides,0.2303
There,sciq,a nutrient,dietary,0.4888
Breitenfelde,popqa,Germany,Wales,0.3795
Stoichiometric,sciq,products,imports,0.343
Irrigation,sciq,drip irrigation,mist irrigation,0.4873
Battambang Province,counterfact, Cambodia, Tucson,0.4937
There,sciq,amino acids,mitochondria,0.4615
The BFG,synthetic,Roald Dahl,William Shakespeare,0.377
Science Fact,sciq,glucose,glucosamine,0.2509
Nuclear,sciq,nuclear,gravitational,0.3483
Science Fact,sciq,genes,DNA,0.2509
Vestigial,sciq,vestigial,extinct,0.4773
The,sciq,bacteria,pathogens,0.2509
If,sciq,fault zone,fog zone,0.2509
Flaps,sciq,aorta,ventricular,0.4935
Dysprosium,synthetic,Dy,Kr,0.3514
The Stand,popqa,Stephen King,Seanan McGuire,0.3699
Drip,sciq,drip,constant,0.1824
Strait of Gibraltar,counterfact, Gibraltar, Belfast,0.3439
Jacob,popqa,Isaac,"Eochaid, son of Rhun",0.4697
Nucleic,sciq,rna,nucleotides,0.4236
Unlike,sciq,matter,water,0.2509
Nuclear,sciq,energy,oil,0.4496
Mehran Kushk,popqa,Iran,Indonesia,0.3752
Jaromír Jágr,counterfact, hockey, basketball,0.4611
For,sciq,adolescence,old age,0.4165
Producers,sciq,producers,consumers,0.4731
Gabon,popqa,Libreville,Patras,0.1628
Scientists,sciq,models,theories,0.4415
Bacterial,sciq,antibiotics,antivirals,0.2509
Signy Island,counterfact, Antarctica, Europe,0.4977
Sahara,sciq,biome,ecological environment,0.3427
Science Fact,sciq,ecosystem,habitat,0.4057
In,sciq,endocytosis,metastasis,0.4909
Ibn Shihab al-Zuhri,counterfact, Islam, Judaism,0.413
Sometime,sciq,scientific method,philosophic method,0.3793
The,sciq,ethology,embryology,0.3274
Polio vaccine,synthetic,Jonas Salk,Enrico Fermi,0.4972
the,sciq,peptides,polypeptides,0.3443
Magyar Suzuki,counterfact, Suzuki, Microsoft,0.4351
Science Fact,sciq,hypothalamus,brain stem,0.2509
The,sciq,kinetic energy,electromagnetic energy,0.365
Jelow Girangeh,popqa,Iran,Bolivia,0.349
Bluefield College,counterfact, Virginia, California,0.3575
 Gilles de Robien,counterfact, French, Dutch,0.1904
The,sciq,chemical reaction,crystals reaction,0.4503
Calculus,synthetic,Isaac Newton,J.J. Thomson,0.3436
Transpiration,sciq,transpiration,propagation,0.2037
You,sciq,hydrogen gas,alloys,0.302
 Nolan Ryan,counterfact, pitcher, midfielder,0.4257
A Personal Journey with Martin Scorsese Through American Movies,popqa,Martin Scorsese,James Hilton,0.3527
Like,sciq,cell wall,mitochondria,0.343
Electric,sciq,potential energy,solar energy,0.4778
The,sciq,size,density,0.2717
Götterdämmerung,popqa,Richard Wagner,Fred Karlin,0.2509
Mechanical,sciq,mechanical waves,fluid waves,0.3171
Joe Theismann,counterfact, quarterback, midfielder,0.2652
Mineralogists,sciq,minerals,salts,0.2509
Many,sciq,sexual reproduction,subject reproduction,0.4434
Science Fact,sciq,starch,fat,0.3526
The Neverending Story,popqa,Michael Ende,Donald Harington,0.2509
Marc Gasol,counterfact, basketball, soccer,0.4659
The,sciq,mammary glands,primordial glands,0.4815
Diffusion,sciq,diffusion,filtration,0.3231
A,sciq,mutagens,pollutants,0.475
Science Fact,sciq,photosynthesis,erosion,0.2509
Zarqa Governorate,counterfact, Jordan, Oregon,0.3595
Taunton River Watershed,counterfact, Massachusetts, Gujarat,0.2331
All,sciq,activation energy,decomposition energy,0.2393
Science Fact,sciq,mass extinctions,mass mutations,0.2061
The,sciq,stomach,rectum,0.2387
Conceptual,sciq,voltage,watt,0.4253
Montana,synthetic,Helena,Carson City,0.2297
Penguins,sciq,penguins,Emus,0.2509
Paradise Lost,synthetic,John Milton,Charles Dickens,0.2727
Independence Day,popqa,Roland Emmerich,Raoul Walsh,0.2509
Lenses,sciq,homeostasis,peristalsis,0.2939
The,sciq,net torque,critical torque,0.3997
James Arness,counterfact, actor, composer,0.4527
Wiesau,popqa,Germany,Belgium,0.3115
The,sciq,cardiac muscle,chest muscles,0.3318
Science Fact,sciq,light,water,0.1927
Solar,sciq,electrical energy,active energy,0.3302
Pomorie Municipality,popqa,Pomorie,Ancona,0.2715
Yes.,sciq,mitochondria,nucleus,0.3784
Electromagnetic,sciq,electromagnetic induction,mechanical induction,0.2711
Carbon,sciq,valence,shell,0.4097
Berkelium,synthetic,Bk,Hg,0.4927
The,sciq,south america,north america,0.2654
Buffers,sciq,buffer,gases,0.3782
Figure,sciq,electric,solar,0.3414
MUD1,popqa,MUD,country rock,0.3173
The,sciq,pressure,mass,0.2509
Capillaries,sciq,capillaries,viens,0.3121
A,sciq,kidneys,tissues,0.3459
What's,sciq,tail,five fingers,0.482
Towels,sciq,capillary action,diffusion action,0.3777
Ferdinand de Saussure,counterfact, Switzerland, Belgium,0.4732
Science Fact,sciq,vaccination,surgical intervention,0.2452
Joseph,popqa,Jacob,George I of Greece,0.2509
Joel Zumaya,counterfact, pitcher, goaltender,0.3376
Science,sciq,supernatural,hypothetical,0.2509
Nuclear,sciq,electricity,light,0.4148
Obeakpu,popqa,Nigeria,Brazil,0.345
Electron,sciq,valence,noncovalent,0.4885
Transition,sciq,transition metals,rare metals,0.4033
Strontium,synthetic,Sr,Ba,0.2509
Plants,sciq,sunlight,moisture,0.4203
Călmuș River,popqa,Romania,Lebanon,0.2279
Saprotrophs,sciq,fungi,bacteria,0.3832
Saturn,sciq,saturn,Venus,0.2424
Nintendo,counterfact, Japan, Hungary,0.4166
Some,sciq,fungi,spores,0.3796
Alpha,sciq,gamma rays,x-rays,0.2509
13,sciq,photosynthesis,glycolysis,0.2273
Products,sciq,products,solutions,0.4964
saliva.,sciq,stomach,liver,0.3757
Panama,synthetic,Panama City,Antananarivo,0.4757
Of,sciq,gamma,ultraviolet,0.2509
neptunium,counterfact, Neptune, Tampa,0.4257
Science Fact,sciq,seminiferous tubules,interstitial tubules,0.3091
Bacteria,sciq,cyanobacteria,fusobacteria,0.3748
Surface,sciq,earthquake,tsunami,0.2509
Friction,sciq,friction,opposing,0.3078
Rising,sciq,water droplets,ice crystals,0.3139
North Lake,popqa,Canada,Papua New Guinea,0.4338
Prophase,sciq,meiosis,mitosis,0.2509
Christine,popqa,Stephen King,Ezzat el Kamhawi,0.2509
Spontaneous,sciq,spontaneous process,controlled process,0.3514
Rancho Los Encinos,counterfact, California, Victoria,0.4825
Wallace’s,sciq,theory of evolution,theory of reproduction,0.3644
Many,sciq,methane,sulfide,0.3022
plants.,sciq,phospholipids,eukaryotes,0.4311
Da'i,counterfact, Islam, Judaism,0.4743
Tom Sawyer Abroad,popqa,Mark Twain,Seanan McGuire,0.2478
Living,sciq,backbone,circulatory system,0.3502
Tervola Radio and TV-Mast,popqa,Finland,Jordan,0.4938
An,sciq,aquifer,gradient,0.4023
Gymnosperms,sciq,gymnosperms,Proteins,0.4077
Commonwealth of England,popqa,London,Amman,0.2902
A,sciq,periodic table,cycles table,0.4724
Some,sciq,fungi,bacteria,0.3753
The,sciq,placenta,Ovaries,0.2509
The,sciq,inferior vena cava,resulted vena cava,0.4369
Devikulam,counterfact, Kerala, Swansea,0.493
Gaseous,sciq,nitrogen fixation,oxygen fixation,0.3936
Potential,sciq,gravitational potential energy,gravitational pull energy,0.4997
Multiplicative,sciq,byte,Megabyte,0.3955
Kingdom of Italy,popqa,Rome,Bangui,0.2411
Volcanoes,sciq,magma,pumice,0.2509
Füzérradvány,popqa,Hungary,Kazakhstan,0.2524
Absolute,sciq,absolute zero,Absolute Freezing,0.4626
Steps,sciq,immune,infection,0.331
Sometimes,sciq,winter,spring,0.3203
"Matson, Inc.",counterfact, Hawaii, London,0.3624
Clouds,sciq,heat,seawater,0.2509
The,sciq,cathode,Spinner,0.31
Nicaragua,synthetic,Managua,Sarajevo,0.1521
Chemical,sciq,energy,food,0.173
Speed,sciq,speed,movement,0.3476
Beloved,synthetic,Toni Morrison,Charlotte Bronte,0.2462
Lincoln,popqa,Nebraska,King County,0.4178
There,sciq,aerobic,hyperbaric,0.2722
Soil,sciq,weathering,leaching,0.2509
Prokaryotes,sciq,hydrogen sulfide,calcium sulfide,0.4869
list of Buddhist temples in Busan,popqa,South Korea,Latvia,0.3731
Like,sciq,dna,riboflavin,0.2749
Gas,sciq,carbon dioxide,naturally dioxide,0.2135
Cyprus,popqa,Nicosia,Banjul,0.3434
Carolus,sciq,taxonomy,geology,0.453
Only,sciq,monotremes,marsupials,0.4561
 First Barons' War,counterfact, England, Chicago,0.2509
Giovanni Boccaccio,counterfact, Italian, Russian,0.4463
Temperate,sciq,deciduous,perennial,0.3214
Vectors,sciq,vector,cycles,0.2878
Bicol Region,counterfact, Philippines, Moscow,0.4989
Sure,sciq,stratosphere,mesosphere,0.2667
Amphibian,sciq,metamorphosis,morphing,0.2535
Nevada State Route 535,counterfact, Nevada, Ottawa,0.4114
1998–99 Slovenian Basketball League,popqa,basketball,track cycling,0.4616
Science Fact,sciq,decomposers,producers,0.1904
Corrientes,popqa,Corrientes,Victoria,0.176
This,sciq,herpes,Aids,0.4494
Predators,sciq,keystone,decomposers,0.228
Fort Humboldt State Historic Park,counterfact, California, Florida,0.346
 2004 Summer Paralympics,counterfact, Athens, Istanbul,0.3158
Although,sciq,insulator,magnet,0.2509
The,sciq,chromosomes,ribosomes,0.2509
Lake Bluff,counterfact, Illinois, Cambodia,0.4598
CIKR-FM,popqa,Canada,Wales,0.3959
New Jersey,synthetic,Trenton,Jefferson City,0.2665
Renewable,sciq,renewable resources,residual resources,0.3669
Eschbronn,popqa,Germany,Sri Lanka,0.3895
The,sciq,troposphere,stratosphere,0.3165
Cytoplasm,sciq,cytoplasm,rna,0.3511
3.6,sciq,exocytosis,biosynthesis,0.2509
Groundhog Day,popqa,Harold Ramis,John Galsworthy,0.2509
The,sciq,time,gravity,0.468
A,sciq,series circuit,parallel circuit,0.4932
Environmental,sciq,environmental science,physical science,0.3644
Telephone,synthetic,Alexander Graham Bell,Wernher von Braun,0.3398
Science Fact,sciq,energy,neurons,0.342
Aquatic,sciq,marine biomes,jungle biomes,0.4263
Andorra,synthetic,Andorra la Vella,Vaduz,0.4675
Although,sciq,toads,turtles,0.2509
The,sciq,temperature,oxygen,0.3747
East River Greenway,counterfact, Manhattan, Leeds,0.4256
New Mexico,synthetic,Santa Fe,St. Paul,0.4806
Zhang Zhidong,counterfact, Chinese, French,0.4751
Epidemiologist,sciq,epidemiologist,biologist,0.2736
Bradford,popqa,Bradford,Oranjestad,0.2539
Cellular,sciq,aerobic respiration,kinetic respiration,0.3508
Through the Looking-Glass,synthetic,Lewis Carroll,Geoffrey Chaucer,0.3983
Eswatini,counterfact, Africa, Antarctica,0.4967
Pennsylvania Route 664,counterfact, Pennsylvania, Irvine,0.4083
 Paulo Sousa,counterfact, midfielder, quarterback,0.4193
The,sciq,homeostasis,cancerous,0.2509
An,sciq,earthquake,eruption,0.4418
